,company,rating,city
0,X-Byte Enterprise Crawling,100.0,"Boblingen, "
1,Intetics Inc.,100.0,"Dusseldorf, "
2,Infopulse,100.0,"Bonn, "
3,ScaleFocus,100.0,"Munich, "
4,Preezma,100.0,"Berlin, "
5,Apriorit Inc.,100.0,"Berlin, "
6,SAP,100.0,"Walldorf, "
7,ScienceSoft USA Corporation,100.0,"Berlin, "
8,ELEKS,100.0,"Berlin, "
9,Dimensional Insight,100.0,"Stuttgart, "
10,Fortunesoft IT Innovations,100.0,"Berlin, "
11,MobiDev,100.0,"Berlin, "
12,Iteora GmbH,100.0,"Berlin, "
13,Unicsoft,100.0,"Berlin, "
14,Plaxonic Technologies,100.0,"Berlin, "
15,Relevant Software,100.0,"Berlin, "
16,NIX,100.0,"Berlin, "
17,TrendLine Global,100.0,"Frankfurt, "
18,Intellias,100.0,"Berlin, "
19,Datapine,100.0,"Berlin, "
20,S-PRO,99.8,"Frankfurt, "
21,Idealogic,99.2,"Berlin, "
22,Elinext Group,99.0,"Berlin, "
23,Cyber Infrastructure Inc.,98.6,"Berlin, "
24,Sigma Data Systems,97.6,"Attenhofen, "
25,Consagous Technologies,95.6,"Diekholzen, "
26,Avenga,80.0,"Cologne, "
