Stadtteil,Postleitzahl
 Altstadt,"60311, 60313"
 Bahnhofsviertel,60329
 Bergen-Enkheim,"60388, 60389"
 Berkersheim,60435
 Bockenheim,"60325, 60431, 60486, 60487"
 Bonames,"60433, 60437"
 Bornheim,"60385, 60386, 60389, 60435"
 Dornbusch,"60320, 60322, 60431, 60433, 60435"
 Eckenheim,"60320, 60435"
 Eschersheim,"60431, 60433"
 Fechenheim,"60314, 60386"
 Flughafen,60549
 Frankfurter Berg,60433
 Gallus,"60325, 60326, 60327, 60329, 60486"
 Ginnheim,60431
 Griesheim,"60326, 65933"
 Gutleutviertel,"60327, 60329"
 Harheim,60437
 Hausen,"60487, 60488"
 Heddernheim,60439
 Höchst,"65929, 65934"
 Innenstadt,"60310, 60311, 60312, 60313, 60318, 60322, 60329"
 Kalbach-Riedberg,"60437, 60438, 60439"
 Nied,"65934, 65936"
 Nieder-Erlenbach,60437
 Nieder-Eschbach,60437
 Niederrad,60528
 Niederursel,"60437, 60439"
 Nordend-Ost,"60316, 60318, 60385, 60389"
 Nordend-West,"60316, 60318, 60320, 60322, 60389, 60435"
 Oberrad,60599
 Ostend,"60314, 60316, 60385"
 Praunheim,"60431, 60439, 60488"
 Preungesheim,"60433, 60435"
 Riederwald,60386
 Rödelheim,"60486, 60487, 60488, 60489"
 Sachsenhausen-Nord,"60528, 60594, 60596, 60598, 60599"
 Sachsenhausen-Süd,"60528, 60598, 60599"
 Schwanheim,"60528, 60529"
 Seckbach,"60386, 60388, 60389"
 Sindlingen,65931
 Sossenheim,65936
 Unterliederbach,65929
 Westend-Nord,"60320, 60322, 60323, 60431"
 Westend-Süd,"60306, 60308, 60320, 60322, 60323, 60325, 60327, 60486, 60487"
 Zeilsheim,65931
